idx,class,conversation
2,1,"너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어.
그만해. 니들 놀리는거 재미없어.
지영아 너가 키 160이지? 그럼 재는 160도 안돼는거네?
너 군대도 안가고 좋겠다.
니들이 나 작은데 보태준거 있냐?
난쟁이들도 장가가고하던데. 너도 희망을 가져봐 
더이상 하지마라. 
그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해주디?
나람 해줬어. 저 키로 어찌살아.
제발 그만 괴롭히라고!"
6,1,"35번 손님 아이스커피 두잔나왔습니다
아이스커피? 
네 맛있게드세요
저기요 아가씨 나는 아아스 시킨적이 없는데?
아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요
내가 그랫어? 
네분명히.
아그런 기억이 없는데? 아가씨가잘못안거 아니야?
아니요. 오늘 손님이 첫 주문이라 확실히 기억하고 있습니다
아가씨. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지?
.네?.
어휴 유도리 없어 그냥 마실게"
7,1,"경비아저씨 내차에 경고장 붙였어요?
내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장을 붙여?
입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다.
내가 항상 대는 거기 자리가 없으니까 그렇지.
내차 이거 어떻게 할거요? 얼마짜린줄 알아?
수차례 인터폰도 드렸고 경고장을 올렸으나 몇일째 그대로 인지라 아파트규약에 맞춰 어쩔수 없었습니다
그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와
그럴 수는 없습니다.
내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요!
말씀이 과하신거 아닙니까?
딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야"
8,1,"이거 할인 된다면서요
 확인해보겠습니다
 아까 저 시람은 할인 해주던데
 네 저 손님은 고객님이십니다
 고객을 차별하는 거에요?
 저희는 등급제로 운영돼서 그런겁니다
 점장 불러오세요
 손님 이건 점장님도 해결해주시지 못합니다
 그니까 점장 불러와
 진정을 좀 해보세요"
18,1,"야 너이마빡에 빛이난다
어?
야 한대만 때려보자 퍽
아 흑 왜그래 
아팠어? 빛이나길래 두드려봤다 가만히있어봐 퍽퍽 야 두드리니깐 열리겠는데? 빛이 나다 열리나? 
뭔소리야 저리치워 
너 서운하게 왜그러냐 친구사이에 퍽퍽퍽 
야 너 미쳤어? 
야 광이난다 이마빡 참 예뻐 
흑흑흑"
22,1,"어유 파리꼬여 어디서 계란썩는 냄새가 나냐 설마 사람한태 나는 냄새는 아닐테고
너 뭐라했냐 
얼래 저 새끼 깝치네
야 야 냅둬라 자기가 뜨끔해서 그런거겠지
너도 싸우고 싶냐?
우쭈쭈 욕먹어서 화났어요?
왜 나한테 지랄이야 이 새끼들아
니가 존나 맘에 안드니까"
24,1,"야. 거지!
너네집 저기 판자촌이라면서?
.
판자촌이 뭐야?
왜 저 위에 다 쓰러져가는 집들 있잖아. 거기
귀신의 집 같이 다 허물어진데?
새끼. 귀신의 집은 무너지진 않잖아. 쟤네 집은 천장에 구멍도 뚫려 있을걸. 추워서 집에서 이불 둘둘 말고 있을텐데. 용케 얼어죽진 않았네.
날도 추운데 걱정은 못해줄망정 그게 무슨 망발이냐? 거지 친구야 내가핫팩하나 줄까? 추운데 이런거라도 있으면 낫지 않겠어? 크큭.
와 배려심봐라. 쩔어. 나도 쓰던거 있으니까 저녁 때까지는 쓸 수 있겠다.
내가 내일도 쓰던거 줄테니까 꼭 가져가. 쟤 주고 나면 나 손시려워서 어떻게 하냐?
새끼 꼴에 자존심은 있는지 얼굴 빨개지네? 그래 봤자 넌 거지새끼 못 면해."
25,1,"여보 생활비좀 주세요
아니 이놈의 마누라는 허구한날 입만 열면 돈타령이야
애들 학원비며.
괜히 애들 핑계 대지마!
제가 입고 쓰는건 없어요.
거짓말마 아주 뱃살이 출렁출렁
여보. 그러지 말고 생활비좀 주세요
못줘! 뱃살 쳐지는 거 더이상 보기 싫어서라도 못줘
정말 제가 먹고 쓰는건 없어요. 믿어주세요.
저리가 이 여편네야 정떨어져"
29,1,"병신이 아이스크림 먹게 돼 있냐?
난 먹으면 안 돼? 그만 좀 해.
당연히 안 되지 너 공부 개못하는 찐따잖아.
야 닭대가리가 말도 하네 동물농장 나가자.
너네 학교폭력으로 신고하기 전에 그만 해.
아이고 무서워라 살려주세요 으헝헝
제발 좀 저리 가.
나였으면 아이스크림 먹을 시간에 공부한다.
멈춰!
저러니까 쳐맞고 다니지"
31,1,"니가 나 따라한다는 애구나?
 내가? 나 너 안따라해.
머라는거야. 여기 사진 다 있거든. 너 내가 누군지 모르지? 너 한번 찍혀야 정신차리냐?
아니야 나. 나 진짜 아니야. 이거 나 아니야.
애 머래니? 작작 좀 나대.
진짜로 나 진짜 아니야 나 이런대 가보지도 않았어.
야 니가 내 썸남한테 꼬리쳤다며 거짓말 하지마 내가 다 듣고 이러는거거든?
진짜 나 아니야. 나랑 닮은 앤가봐.
야 재 입 좀 어떻게 하자.
애들아 제발 이러지 말아줘. 선생님한테 말할거야."
