idx,class,conversation
5,2,"나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로.
가나다 음식점이요.?
응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘.
저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만.
사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지!
하지만 팀 프로젝트라서 이번엔.
말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?!
아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다.
이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?!
죄송합니다. 알겠습니다."
11,2,"이대리 오늘 도대체 뭘한거야?
창고정리도 하고 바닥도 청소했습니다
이게 한거니?
네 열심히 했습니다
왜 이건 복사 안해놨니?
아까 하라고 안하셨는데요
내가? 아까 말했는데 너가 못들었어 귀 이니?
아닙니다. 지금 당장 하겠습니다
물도 새로 받아와 이걸 먹으라고 한거니?
죄송합니다"
14,2,"김사원
대리님 왜 그러세요?
이거 오늘까지 제출해야 하는데 좀 해줄래?
네? 저도 해야 할 일이 많아서요.
아니 좀 도와달라잖아 그것도 못 해줘?
저도 도와드리고 싶은데 할 일이 많아서요.
너랑 나랑 얼굴 맞대고 일해야 하는데 감당할 수 있겠어?
네?
감당할 수 있으면 하지 말든가
아닙니다 제가 하겠습니다."
19,2,"나씨 정수기 물탱크 좀 갈아주시겠어요?
싫습니다. 물 저만 마시는 것도 아닌데 매번 저만 하잖아요.
나씨가 저희 부서 유일한 남자직원이잖아요.
그러니까요 저 일꾼 아니고 직원입니다.
그래서 못해주겠다는 건가요?
그런게 아니고 매번 저만 물탱크 갈고 짐 나르는데 부당하다는 겁니다.
나씨가 남자직원이니까 힘도 제일 세고 먹는 양도 저희 여직원보다 더 많을 거 아니에요?
저 정수기 거의 안씁니다. 물 싸가지고 다녀요.
하 그러고도 이 팀에서 잘 어울릴 수 있을까요?
왕따시키겠다는거에요?"
36,2,"나이가 몇인데 내가 이런 것까지 일러줘야돼?
죄송합니다
기본적인 것도 탑재가 안되있으면 어떡해?
죄송합니다.
그 죄송하다는 소리좀 듣기 싫어 제대로 할수 없어?
다음부터 제대로 해보겠습니다
그따위로 하다간 다음은 없을지도 몰라 제대로좀해 제발!
네 정말 죄송합니다
아주 가정에서부터 교육을 다시 받아야돼 문제가 많아 요새 젊은 것들은
. 죄송합니다"
38,2,"팀장님 오늘 당직이시죠?
그런데?
아 직원 부모님 상당했다고 문자 한통 전직원들에게 부탁드려도될까요?
그런건 서무가 하는일 아니니?
아 그렇긴한데 주말이라 당직자에게 부탁하는건데요.
나는 문자 못보내주겠다 니가 와서 해라
네?
못들었니? 니가 와서 보내라고.
주말인데 사무실까지 가려면 시간좀 걸리는데 한번만 보내주십시오. 당직자가 원래 해주는 일도 맞지 않습니까?
아 그건 모르겠고 니가 와서 보내든가 말든가해라 끊어라"
42,2,"야 조선생 이것 좀 해와
네? 저 부르신건가요?
그래 여기 너말고 더 있냐?
그래도 직장인데 그렇게 부르시는거는 좀.
뭐 그럼 내가 존칭까지 써가면서 불러야겠어? 일이나 제대로 해
네.알겠습니다.
일하고 저기 이따 저기 쓰레기도 좀 버리고 와라. 치료실이 너무 더럽다.
저 혼자하기에는 너무 힘든데요.
그럼 다 늙은 내가 하리?
알겠습니다.버리고 오겠습니다."
45,2,"저 이번에 육아휴직 좀 내려구요
 넌 남잔데 무슨 육아휴직이야
 아내 혼자 너무 힘들어 해서요
 그래서 너만 힘들 줄 아냐
 근데 회사 복지 중에 유가의 휴직제도 있던데요
 그래 쓸 순 있지 한번 써봐
 무슨 말씀이신가요
 니가 휴직하고 와서 니 자리가 있는지 보라고
 너무 부당하다고 생각합니다
 지금 당장 그만두던가"
51,2,"최대리는 이제 살 좀 빼야지
그래 사람이 너무 둔해 보이네 살 좀 빼는 게 어때
운동을 하고 있습니다
회사 일이 바쁜데 운동할 시간은 있나봐?
일은 제대로 하지도 않으면서 칼퇴는 잘만 하잖아요
죄송합니다
운동을 하는 게 아니라 먹는 걸 줄이라는 거야
사무실에서 쩝쩝거리기는 하고 말이야
죄송합니다
말로만 맨날 죄송하다고 하면 뭐해"
60,2,"인재씨 회사가 만만해요?
그게 무슨 말씀이세요 차장님
지난주에 저한테 사직 고려중이라고 말하지 않았나요
그건 제가 면담하다가 감정이 욱해서 그랬습니다
그럼 지금은 맘이 바뀌었습니까
네 그냥 다니기로 했습니다 죄송합니다
어휴 그때 사직서를 받아놨어야 되는데
죄송합니다
저는 인재씨 잘라버리고 싶어요. 일처리 똑바로 하세요
마음이 아프네요"
66,2,"야 너 커피 좀 타와봐라
저 말씀 하시는 겁니까?
그래 여기서 그런 잡일 할 사람이 너 말고 누가 있는데?
아 죄송합니다 지금 타오겠습니다 여기 타왔습니다.
어 씨 야 이거 먹으라고 탄 거 맞냐? 똑같은 믹스커피를 무슨 이렇게 맛대가리 없이 탔어 그리고 뭐 나 혓바닥 화상입어서 죽으라고 이렇게 뜨겁게 탔냐?
아이고 죄송합니다. 최대한 정성 들여 탔는데 입맛에 안 맞으셔서 죄송해요.
어떻게 잘하는 일이 하나도 없어 내가 다 안쓰러워 지려고 한다. 어떻게 지금까지 잘 살아있냐 잘하는것도 없는데
죄송합니다 앞으로 더 노력하겠습니다.
당연히 노력해야지 너 지금 이렇게 살면 뭐 3년? 뒤에 집에서 백수로 살아야 해 너 받아줄 회사 없다고 똑바로해
네 알겠습니다 죄송합니다."
68,2,"아니 김대리 도대체 일처리가 이모양이냐?
 제가 혹시 실수한거 있나요?
 아 말대꾸 따박따박 같네
 죄송합니다.
 야 내가 니 친구로 보이냐?
 아닙니다.
 너 진짜 회사에서 찍히고싶은거지?
 죄송합니다 그런의도로 말한건 아닙니다
 그냥 회사에서 쥐죽은듯이 살아
 알겠습니다."
73,2,"나은씨
 네?
 가서 커피좀 타와
제가요?
그럼 여기 나은씨가 둘인가?
아 저 커피는 좀.
왜? 나은씨 집에서 아빠한테도 커피 한번 안타줘봤어?
저희 아빠는 스스로 내려드시는데요.
뭐??? 그럼 여기가 집이랑 같다고 생각하는거야??
그건아닌데.
 하고싶은거만 하면서 살 수 있다고 생각해? 가서 얼른 타와 입아프니까"
81,2,"김대리는 어떻게 커피 하나를 못 타나?
네? 죄 죄송합니다.
내가 물을 많이 넣으랬지. 누가 한강물로 만들랬어?
죄송합니다. 다시 타올게요.
뭘 다시 타와? 그냥 마시면 되지. 누굴 나쁜 놈 만들라고 작정했네.
죄송합니다.
그 죄송합니다 소리 좀 그만해. 아주 내가 괴롭히는 줄 알겠어?
네.
네? 내가 괴롭혀? 자기야 말 좀 해봐.
아 아니에요. 무슨요.
생긴대로 논다고. 아 짜증나. 누가 뽑았어 저런 새끼를."
82,2,"부장님
왜 불러?
저 이번주 금요일날 연차 쓸수있어요?
안돼 한참 바쁠땐데
저 연차 한번도 사용한 적 없잖아요
신규가 무슨 연차를 써. 눈치도 더럽게 없어가지고.
무슨 말씀을 그렇게하세요.
아니 내가 말을 안하려고 했는데. 씨는 일 너무못해. 
너무하세요
못생겼으면 일이라도 잘 해야지."
83,2,"하사원 여기 놀러왓냐
아닙니다
이것밖에 못햇냐
죄송해요
월급만 축내네 진짜
죄송해요
그냥 낼 부터 나오지마
처자식이 잇어여
내가 알바 아니구
죄송합니다"
86,2,"야 이 새끼야. 이번 일 잘못되면 다 너때문이야 알겠어?
죄송합니다.그렇지만 이러시는 건 너무 과하신 거 같은데요.
과해? 이게 과해? 이 새끼가 오냐오냐해줬더니 왜 이렇게 기어올라 ?
제가 실수한 부분은 인정 합니다만.저만 그렇게.
가지가지 하네. 니 말은 나도 잘못했으니 그냥 입닥치라 이거냐? 골때리는 새끼네.
그런 뜻이 아닙니다. 죄송합니다.
니가 회사에 도움이 된다고 생각하냐? 그냥 시키는 일이나 똑바로하고 옆에 찌그러져 있으라고. 아오 진짜 
그렇지만 너무 부당한 사항이여서.말씀 드린 건데.
너는 우리나라 법도 부당하면 국회가서 따질래? 이 새끼가 대가리에 똥이 찼나. 그냥 사리고 알겠습니다 하고 끝내면 될 것을 . 
저희에게 오는 손해가 너무 . 큰 것 같아서.
니 돈나가냐? 어? 뒷 일은 알아서 위에서 할 건데 왜 나대냐고 그러니까 ."
87,2,"과장님 다음주에 여름휴가 사용해도 될까요?
다음주에는 박대리가 쓴다고 하는데 다음에 쓰지
그러면 다다음주에는 가능할까요?
다다음주는. 김대리. 다들 바쁘게 일하는데 무슨 휴가를 쓴다고 하냐?
저도 가족들이랑 휴가 잠깐 다녀오고 싶어서요.
남들 다 열심히 일하는데 너만 갔다오고 싶니?
다른 분들은 다들 갔다오셨구 제가 맡고 일은 이번주에 다 끝낼 수 있어서 말씀드립니다.
아 됐고 나중에 써 나중에
혹시 나중 언제쓰면 될까요?
모르겠고 그냥 나중에 쓰라고!"
90,2,"야 김대리 너 커피 안타오고 뭐해?
아 금방 타가겠습니다
장난쳐? 커피 다 식었잖아
죄송합니다.금방 타서 드리겠습니다
야 됐고 그냥 밖에 나가서 라떼로 사와
아 네 알겠습니다. 카드는 그럼?.
네 돈으로 사와 임마"
92,2,"야 신규 너 똑바로 환자 관리 안 하냐? 인수인계 제대로 들은거 맞아? 너 누가 저 환자 항암 약물 속도 저렇게 하래 죽이고 싶어서 환장했어?
인수인계 들었는데. 어. 약물 속도는 제 프리셉터 선생님이. 설명해주신바로. 저렇게 하라고 하셨어요.
니 프리셉터가 문제라는거야? 너가 잘 못들은거 아니고?
아니 바쁘셔서 그런지. 책 보고 알아서 하라 그래서 책 보고 최대한 아는 대로 한겁니다.
모르는거 물어보라고 프리셉터 붙여준거 아니야? 너 여기 실전이야 니 하는 행동에 환자가 죽을수도 있다고. 야 김간호사 너 얘 프리셉터지?
네 맞는데요 왜 그러시죠?
아니 얘가 약물 조절 잘못했는데 너가 책 보고 하라 그랬다고 그러던데? 대충 알려줬냐?
그런 적 없는데요. 자기가 괜히 잘못해놓고 제 탓 하는건가보죠. 그리고 저 신규간호사 일도 제대로 못 하고 아는것도 하나도 없어서 가르칠맛이 안나요. 한 번 한 달간 굴려봐야 정신차리나.
야 니가 멍청해서 설명해도 못 알아들었나보네. 근데 어디서 선배 간호사를 탓 해. 너가 부족하다 생각하면 매일 남아서 연습하고 또 연습해.
좀 억울한게 이번에 프리셉터 선생님 배정받고 뭐 설명듣고 배운거 하나도 없어요. 가르쳐주시지도 않았고 간호사 됐으면 알아서 다 하라고 하셨어요. 다른 동기들 프리셉터 분들은 다 차근차근 설명해주시는데 제 프리셉터분은 너 혼자 해라 매일 이런식이었어요.
야 그래서 내가 잘못했다는거냐? 너 나한테 또 배울거면 왜 돈 내고 4년동안 대학 다니는데. 제발 혼자 알아서 해 남탓하지 말고. 간호사를 그만두던가 제대로 못 하면서 왜 대학병원에 입사해가지고 사람들을 이렇게 괴롭혀? 차라리 환자들 똥기저귀나 갈던가. 실력도 없는 게 말은 많아가지고."
93,2,"어이 김대리! 이리 좀 와봐!
 네 부장님. 무슨 일이세요?
 여기 이 파일들 내일까지 정리해와.
 이건 박대리 업무가 아닌가요?
 내 처남인 박대리가 어제 과음해서 힘들다잖아! 김대리가 좀 해와.
 저도 오늘 업무가 많아서요.
 상사의 지시를 듣지 않는거야?
 저어.그런뜻이 아니라.
 그럼 잔말말고 정리 해와!
 네. 알겠습니다."
95,2,"부장님 내일은 휴가를 내도 괜찮나요?
뭐? 왜 너 생리하냐
네? 지금 뭐라고 하셨어요?
다시 말해줄까? 너 생리하냐고
지금 여기 재밌는 상황이 나오네
부장님 지금 주변에 사람들 다 듣잖아요 지금 뭐하시는 거에요
아니 생리는 생리현상 아닌가? 그게 창피한건가?"
97,2,"야 김사원 너 오늘 표정안좋다?
아 아닙니다. 피곤해서 그런 것 같습니다.
그러게 너는 일이 익숙치가 않아서 그런거잖아. 숙련도가 떨어진다고 이새끼야.
죄송합니다.
죄송하면 일을 더 열심히 해야지. 피해끼쳐 되겠어?
어쩐지 맨날 뭘 하는지 했더니 헤매는 거였네.
앞으로 더 노력하겠습니다.
그러게 말이야 좀 더 노려을 하란 말이야. 열정이 없어.
다른 사람한테도 꾸중 듣고 너도 보통 능력없는 새끼가 아니네.
그러게 이런 애들한테 월급이 아깝다."
101,2,"김사원 이리 와보게
네 팀장님 무슨 일이신가요?
도대체 옷이 그게 무슨 일이야?
제 옷이 왜.
아니 회사에 출근할 때에는 이런 옷 못 입는 거 모르나?
네? 오늘 캐주얼 데이라서 이렇게 입었는데요.
캐주얼 데이라고 하더라도 회사 출근인데 너무 심하게 편한 거 아닌가?
죄송합니다. 바꾸겠습니다.
정신차려 여기는 회사야!
네."
104,2,"김사원! 커피 한 잔.
.네.
김사원 표정이 그게 뭔가? 상사가 업무지시를 하면 웃으면서 대답도 똑 부러지게 해야지.
네 대리님.
요즘 젊은 친구들은 왜 이렇게 회사생활을 못하는지 모르겠어. 요즘 젊은 얘들은 버릇이 없어요 버릇이! 쯧쯧.
죄송합니다.
어휴 나 때는 말이야 상사가 커피 좀 부탁하면 방긋방긋 웃으면서 타오고 그랬어! 근데 김사원은 뭔가?
네.
이것 봐. 김사원은 대답도 똑바로 못하나? 그렇게 어리버리하니까 사회생활을 못하지. 업무가 마음에 들기를 하나? 아니면 싹싹하게 굴기를 잘하나? 그러니까 입사한지 5년이 넘도록 평사원이지!
죄송합니다."
